1638688872, 457, 524288, 0.09%
1638689172, 2761, 524288, 0.53%
1638689472, 3419, 524288, 0.65%
1638689772, 4087, 524288, 0.78%
1638690072, 4365, 524288, 0.83%
1638690372, 4611, 524288, 0.88%
1638690672, 4941, 524288, 0.94%
1638690972, 5229, 524288, 1.00%
1638691273, 5428, 524288, 1.04%
1638691573, 5614, 524288, 1.07%
1638691873, 6269, 524288, 1.20%
1638692173, 6520, 524288, 1.24%
1638692473, 6606, 524288, 1.26%
1638692773, 6906, 524288, 1.32%
1638693073, 7071, 524288, 1.35%
1638693373, 7132, 524288, 1.36%
1638693673, 7160, 524288, 1.37%
1638693973, 7812, 524288, 1.49%
1638694273, 8038, 524288, 1.53%
1638694573, 8165, 524288, 1.56%
1638694874, 8456, 524288, 1.61%
1638695174, 9308, 524288, 1.78%
1638695474, 10054, 524288, 1.92%
1638695774, 10598, 524288, 2.02%
1638696074, 11439, 524288, 2.18%
1638696374, 11834, 524288, 2.26%
1638696674, 12423, 524288, 2.37%
1638696974, 12869, 524288, 2.45%
1638697274, 12918, 524288, 2.46%
1638697574, 13046, 524288, 2.49%
1638697875, 13134, 524288, 2.51%
1638698175, 13291, 524288, 2.54%
1638698475, 13459, 524288, 2.57%
1638698775, 13490, 524288, 2.57%
1638699075, 13568, 524288, 2.59%
1638699375, 13968, 524288, 2.66%
1638699675, 14129, 524288, 2.69%
1638699975, 14302, 524288, 2.73%
1638700275, 14430, 524288, 2.75%
1638700576, 14704, 524288, 2.80%
1638700876, 14730, 524288, 2.81%
1638701176, 14815, 524288, 2.83%
1638701476, 14947, 524288, 2.85%
1638701776, 14995, 524288, 2.86%
1638702076, 15060, 524288, 2.87%
1638702376, 15291, 524288, 2.92%
1638702676, 15406, 524288, 2.94%
1638702976, 15437, 524288, 2.94%
1638703277, 15497, 524288, 2.96%
1638703577, 15504, 524288, 2.96%
1638703877, 15584, 524288, 2.97%
1638704177, 15613, 524288, 2.98%
1638704477, 15662, 524288, 2.99%
1638704777, 15714, 524288, 3.00%
1638705077, 15981, 524288, 3.05%
1638705377, 15981, 524288, 3.05%
1638705677, 16004, 524288, 3.05%
1638705977, 16015, 524288, 3.05%
1638706277, 16087, 524288, 3.07%
1638706577, 16095, 524288, 3.07%
1638706877, 16239, 524288, 3.10%
1638707177, 16274, 524288, 3.10%
1638707478, 16323, 524288, 3.11%
1638707778, 16381, 524288, 3.12%
1638708078, 16485, 524288, 3.14%
1638708378, 16518, 524288, 3.15%
1638708678, 16551, 524288, 3.16%
1638708978, 16625, 524288, 3.17%
1638709278, 16644, 524288, 3.17%
1638709578, 16830, 524288, 3.21%
1638709878, 16895, 524288, 3.22%
1638710178, 16944, 524288, 3.23%
1638710478, 17072, 524288, 3.26%
1638710778, 17078, 524288, 3.26%
1638711079, 17186, 524288, 3.28%
1638711379, 17245, 524288, 3.29%
1638711679, 17288, 524288, 3.30%
1638711979, 17302, 524288, 3.30%
1638712279, 17312, 524288, 3.30%
1638712579, 17466, 524288, 3.33%
1638712879, 17534, 524288, 3.34%
1638713179, 17766, 524288, 3.39%
1638713479, 17866, 524288, 3.41%
1638713779, 17905, 524288, 3.42%
1638714079, 17944, 524288, 3.42%
